"","X","Date","scaled_change","lag_volume_scaled"
"443",1173,"2018-03-19",-0.827403294957476,-0.467918707319728
"444",1174,"2018-03-20",-0.82655554207064,-0.472318607677555
"445",1175,"2018-03-21",-0.825810371384037,-0.47668548359619
"446",1176,"2018-03-22",-0.825162068251376,-0.481015752029291
"447",1177,"2018-03-23",-0.824601593678398,-0.485305986136271
"448",1178,"2018-03-24",-0.824115098396345,-0.489553021339019
"449",1179,"2018-03-25",-0.823691555038796,-0.493753965443484
"450",1180,"2018-03-26",-0.823316278957807,-0.497906210029194
"451",1181,"2018-03-27",-0.822974658872417,-0.502007427674654
"452",1182,"2018-03-28",-0.82265481976286,-0.506055451134612
"453",1183,"2018-03-29",-0.822354064263604,-0.510047749606327
"454",1184,"2018-03-30",-0.822086534582498,-0.513981595956844
"455",1185,"2018-03-31",-0.821874288477523,-0.517854894628345
"456",1186,"2018-04-01",-0.821736937022452,-0.521665637985784
"457",1187,"2018-04-02",-0.821677889338929,-0.525412116588038
"458",1188,"2018-04-03",-0.821702363120485,-0.529093306699807
"459",1189,"2018-04-04",-0.821802403676631,-0.532708781346349
"460",1190,"2018-04-05",-0.821971972302896,-0.536258909538943
"461",1191,"2018-04-06",-0.822199089552186,-0.539745259844137
"462",1192,"2018-04-07",-0.822471520665165,-0.543169903231389
"463",1193,"2018-04-08",-0.822773752407893,-0.54653482004346
"464",1194,"2018-04-09",-0.823085901828134,-0.549842534688293
"465",1195,"2018-04-10",-0.823372901076776,-0.553096000157137
"466",1196,"2018-04-11",-0.823571446325172,-0.556298131890914
"467",1197,"2018-04-12",-0.823624246262788,-0.559452037242301
"468",1198,"2018-04-13",-0.823479488479993,-0.562560529976882
"469",1199,"2018-04-14",-0.823081011380977,-0.565626327197961
"470",1200,"2018-04-15",-0.822382473131708,-0.568651618456843
"471",1201,"2018-04-16",-0.821356559110943,-0.571638429822207
"472",1202,"2018-04-17",-0.819977685728227,-0.574588563510757
"473",1203,"2018-04-18",-0.818219092067284,-0.577503184196007
"474",1204,"2018-04-19",-0.816061862033377,-0.58038319802531
"475",1205,"2018-04-20",-0.813501970510528,-0.583230046802989
"476",1206,"2018-04-21",-0.81055595221595,-0.586045557323436
"477",1207,"2018-04-22",-0.807240130561134,-0.588831271080097
"478",1208,"2018-04-23",-0.803570848406709,-0.591588783837139
"479",1209,"2018-04-24",-0.799559106681789,-0.59431977739314
"480",1210,"2018-04-25",-0.795213642659766,-0.597025780054341
"481",1211,"2018-04-26",-0.79054707534931,-0.599708465077372
"482",1212,"2018-04-27",-0.785593699576476,-0.602369578557079
"483",1213,"2018-04-28",-0.780390549513976,-0.605010895668776
"484",1214,"2018-04-29",-0.774976687362396,-0.60763429727957
"485",1215,"2018-04-30",-0.769398551698188,-0.610241773005323
"486",1216,"2018-05-01",-0.763720569929923,-0.612835404279493
"487",1217,"2018-05-02",-0.758007270380756,-0.61541675391169
"488",1218,"2018-05-03",-0.752327593084262,-0.617986601495297
"489",1219,"2018-05-04",-0.746750218112146,-0.620545279921017
"490",1220,"2018-05-05",-0.741339126693325,-0.62309311827861
"491",1221,"2018-05-06",-0.736142358906271,-0.625630445905966
"492",1222,"2018-05-07",-0.731193797523217,-0.628158215332176
"493",1223,"2018-05-08",-0.726528849561433,-0.63067817003671
"494",1224,"2018-05-09",-0.722173420807768,-0.633191891439885
"495",1225,"2018-05-10",-0.71815929750976,-0.635700616583112
"496",1226,"2018-05-11",-0.714527412301924,-0.638205748256624
"497",1227,"2018-05-12",-0.711334410336689,-0.640708191422908
"498",1228,"2018-05-13",-0.708627930911695,-0.643208621733026
"499",1229,"2018-05-14",-0.706453105116052,-0.645707629167751
"500",1230,"2018-05-15",-0.704855969369063,-0.648205478091802
"501",1231,"2018-05-16",-0.703881444872835,-0.650702221345841
"502",1232,"2018-05-17",-0.703559759721317,-0.653198283777575
"503",1233,"2018-05-18",-0.703907986673291,-0.655694390507129
"504",1234,"2018-05-19",-0.704924101187728,-0.658191519748109
"505",1235,"2018-05-20",-0.70660716450792,-0.660690366397591
"506",1236,"2018-05-21",-0.708961471054875,-0.663191903809103
"507",1237,"2018-05-22",-0.711985820190118,-0.665697124128908
"508",1238,"2018-05-23",-0.715678698453996,-0.668206526595482
"509",1239,"2018-05-24",-0.720046586389436,-0.670720423618433
"510",1240,"2018-05-25",-0.725077584617374,-0.67323922955069
"511",1241,"2018-05-26",-0.730748890654077,-0.675763319695399
"512",1242,"2018-05-27",-0.737030364262486,-0.678292855550458
"513",1243,"2018-05-28",-0.743878357678465,-0.680828031470258
"514",1244,"2018-05-29",-0.751224550657014,-0.683369552953469
"515",1245,"2018-05-30",-0.758978241198131,-0.685917555357776
"516",1246,"2018-05-31",-0.767040062594833,-0.688471444852166
"517",1247,"2018-06-01",-0.775304503570402,-0.691030683905418
"518",1248,"2018-06-02",-0.783678434823181,-0.693595436690358
"519",1249,"2018-06-03",-0.792079108648741,-0.696165859477423
"520",1250,"2018-06-04",-0.800443919991454,-0.698741973318428
"521",1251,"2018-06-05",-0.80871353844216,-0.70132413602284
"522",1252,"2018-06-06",-0.816855779427111,-0.703912272782802
"523",1253,"2018-06-07",-0.824854094272944,-0.706505877560539
"524",1254,"2018-06-08",-0.832689216874719,-0.709104545809171
"525",1255,"2018-06-09",-0.840327900864359,-0.711708104003688
"526",1256,"2018-06-10",-0.847731621066316,-0.714316371652604
"527",1257,"2018-06-11",-0.854856554310925,-0.716929377890529
"528",1258,"2018-06-12",-0.861657673656975,-0.71954708364301
"529",1259,"2018-06-13",-0.868105374938734,-0.722168941400176
"530",1260,"2018-06-14",-0.874159577838115,-0.724794368225026
"531",1261,"2018-06-15",-0.879759743533772,-0.727423406528173
"532",1262,"2018-06-16",-0.884847167019356,-0.730056645578785
"533",1263,"2018-06-17",-0.889360381158254,-0.732694699955429
"534",1264,"2018-06-18",-0.8932434262614,-0.735338615859778
"535",1265,"2018-06-19",-0.896425914501188,-0.73799037854046
"536",1266,"2018-06-20",-0.898836099494632,-0.74065220939059
"537",1267,"2018-06-21",-0.900409221273585,-0.743325886320206
"538",1268,"2018-06-22",-0.901092891407292,-0.746013261835126
"539",1269,"2018-06-23",-0.900852320738685,-0.748716723935054
"540",1270,"2018-06-24",-0.899664245793067,-0.751438773176165
"541",1271,"2018-06-25",-0.897524544078992,-0.754182008089891
"542",1272,"2018-06-26",-0.894443036119454,-0.756948858290215
"543",1273,"2018-06-27",-0.89044581967163,-0.759741642336038
"544",1274,"2018-06-28",-0.885558729080094,-0.762562096372379
"545",1275,"2018-06-29",-0.879788217703631,-0.765411418522008
"546",1276,"2018-06-30",-0.873124028271525,-0.768290453971806
"547",1277,"2018-07-01",-0.865567854338141,-0.771199750844054
"548",1278,"2018-07-02",-0.857145162679586,-0.774139671268539
"549",1279,"2018-07-03",-0.847904862041549,-0.77711020675303
"550",1280,"2018-07-04",-0.837884277612311,-0.780111068441829
"551",1281,"2018-07-05",-0.827119823926393,-0.783141524013906
"552",1282,"2018-07-06",-0.815667583704281,-0.786201041778969
"553",1283,"2018-07-07",-0.803596709797935,-0.789289503928375
"554",1284,"2018-07-08",-0.790983939185355,-0.792407014198833
"555",1285,"2018-07-09",-0.777913483449327,-0.795553877423669
"556",1286,"2018-07-10",-0.764469662315043,-0.798730512754708
"557",1287,"2018-07-11",-0.750732421601634,-0.801936863962615
"558",1288,"2018-07-12",-0.736773743872697,-0.805172824889147
"559",1289,"2018-07-13",-0.722672790683785,-0.808438535559568
"560",1290,"2018-07-14",-0.708512727970591,-0.811733930477318
"561",1291,"2018-07-15",-0.694385349018484,-0.815058126359326
