"","X","Sentiment","Date","Change_.","scaled_sentiment","scaled_change"
"406",405,0.111964258477603,"2018-12-08",-0.00172644684707741,-0.938651043257495,-0.951283556332937
"407",406,0.111982580558155,"2018-12-09",-0.00171004396774252,-0.936576023024353,-0.945785128371506
"408",407,0.112002505878525,"2018-12-10",-0.00169340221468138,-0.934319431978332,-0.940206627274811
"409",408,0.112023984462115,"2018-12-11",-0.0016766014546655,-0.931886930090635,-0.934574825274773
"410",409,0.112046982344393,"2018-12-12",-0.00165966213574837,-0.929282363927367,-0.928896576786812
"411",410,0.112071460474803,"2018-12-13",-0.00164261947940053,-0.926510156059067,-0.923183688440389
"412",411,0.112097420392376,"2018-12-14",-0.00162558106233716,-0.923570132186645,-0.917472221149371
"413",412,0.112124911682208,"2018-12-15",-0.00160865357568427,-0.920456676677336,-0.911797938968252
"414",413,0.112154014527919,"2018-12-16",-0.00159192214851281,-0.917160708541007,-0.90618937811037
"415",414,0.112184836214338,"2018-12-17",-0.00157544334101088,-0.913670077509365,-0.900665498181135
"416",415,0.11221748515675,"2018-12-18",-0.00155924586380497,-0.909972505287477,-0.895235923302522
"417",416,0.112252076006501,"2018-12-19",-0.00154329691461023,-0.906055007331268,-0.889889657783072
"418",417,0.112288679754869,"2018-12-20",-0.00152755817195449,-0.901909543705776,-0.884613855838223
"419",418,0.112327305551723,"2018-12-21",-0.00151200286400674,-0.897535078165922,-0.879399543251856
"420",419,0.112367962434359,"2018-12-22",-0.00149663397617586,-0.892930587215931,-0.874247720766297
"421",420,0.112410631714149,"2018-12-23",-0.00148142071782531,-0.888098187388459,-0.869148067017016
"422",421,0.112455279336715,"2018-12-24",-0.00146633335542891,-0.883041735424807,-0.864090614994665
"423",422,0.11250186532376,"2018-12-25",-0.00145136134417287,-0.877765758964369,-0.859071829960139
"424",423,0.112550378923803,"2018-12-26",-0.0014364889465103,-0.872271475638491,-0.854086436512327
"425",424,0.112600837085323,"2018-12-27",-0.00142169474326435,-0.866556965990709,-0.849127254704433
"426",425,0.112653302180546,"2018-12-28",-0.00140695857308439,-0.860615166214673,-0.844187526227034
"427",426,0.112707843571473,"2018-12-29",-0.00139225034202064,-0.854438220894721,-0.839257163252765
"428",427,0.112764522785294,"2018-12-30",-0.00137755860811279,-0.848019161926888,-0.834332330309015
"429",428,0.112823423411442,"2018-12-31",-0.00136285853882832,-0.841348522604202,-0.829404703254124
"430",429,0.112884607450999,"2019-01-01",-0.00134810810255622,-0.834419281153442,-0.824460192623645
"431",430,0.112948136205455,"2019-01-02",-0.00133323211771377,-0.827224495031352,-0.819473596713158
"432",431,0.113014090661177,"2019-01-03",-0.00131812281069514,-0.819754992334898,-0.814408788608865
"433",432,0.113082522637548,"2019-01-04",-0.00130264673357793,-0.812004904392622,-0.809221035079911
"434",433,0.113153468865016,"2019-01-05",-0.00128663288385737,-0.80397007139184,-0.803853014180898
"435",434,0.113226913400409,"2019-01-06",-0.00126988876870895,-0.795652298935695,-0.798240200171734
"436",435,0.113302780643567,"2019-01-07",-0.00125227205693391,-0.787060148926406,-0.792334882048326
"437",436,0.113380964581109,"2019-01-08",-0.00123366995374511,-0.778205627637439,-0.786099249740943
"438",437,0.113461316361085,"2019-01-09",-0.00121394418232489,-0.769105592914549,-0.779486951319225
"439",438,0.113543662431898,"2019-01-10",-0.00119294049066148,-0.759779699898591,-0.7724462797897
"440",439,0.113627833232973,"2019-01-11",-0.00117047181806978,-0.750247151737699,-0.764914530325954
"441",440,0.113713673224534,"2019-01-12",-0.00114637360713292,-0.740525563690007,-0.756836541447872
"442",441,0.113801042311803,"2019-01-13",-0.00112049550592792,-0.730630801830477,-0.748161913515224
"443",442,0.113889814034186,"2019-01-14",-0.00109271487108253,-0.720577188129056,-0.738849535102775
"444",443,0.113979879366882,"2019-01-15",-0.00106294292876338,-0.71037706991003,-0.728869648232208
