"","X","Submission.Volume","Date","Change_.","scaled_volume","scaled_change"
"904",1634,183.782444433615,"2019-06-23",0.00442265315661499,-0.74755670331985,0.779043282386916
"905",1635,183.926668324166,"2019-06-24",0.00437415726162311,-0.746563067455015,0.76451904867808
"906",1636,184.059931074799,"2019-06-25",0.00432482794210314,-0.745644948771832,0.749745209252582
"907",1637,184.182122110397,"2019-06-26",0.00427458234890759,-0.744803109081701,0.734696951280779
"908",1638,184.293052176697,"2019-06-27",0.004223315960181,-0.744038852258901,0.719342971085185
"909",1639,184.392517555222,"2019-06-28",0.00417089377020451,-0.743353581829473,0.703642835251522
"910",1640,184.480298300361,"2019-06-29",0.00411717917035277,-0.742748813116894,0.687555630304508
"911",1641,184.556195516438,"2019-06-30",0.00406207058026165,-0.742225916420323,0.671050933525906
"912",1642,184.620132168578,"2019-07-01",0.00400547932210995,-0.741785422474409,0.654102186432777
"913",1643,184.672209762576,"2019-07-02",0.00394734411305095,-0.741426631951195,0.636691035174999
"914",1644,184.712612642063,"2019-07-03",0.00388760920778081,-0.74114827480837,0.618800784363792
"915",1645,184.741554825564,"2019-07-04",0.00382624120695865,-0.74094887655734,0.600421431094112
"916",1646,184.759307245602,"2019-07-05",0.00376328511204617,-0.740826570598388,0.581566453037563
"917",1647,184.766085547917,"2019-07-06",0.00369880775984482,-0.740779871232166,0.562255867420861
"918",1648,184.762038466547,"2019-07-07",0.00363290348416569,-0.740807753749978,0.542517926662464
"919",1649,184.747315228612,"2019-07-08",0.0035656622700012,-0.740909190046018,0.522379580735359
"920",1650,184.722067788282,"2019-07-09",0.00349717523964211,-0.741083133226383,0.50186812022667
"921",1651,184.686385105389,"2019-07-10",0.00342750944162277,-0.741328970398998,0.481003625775853
"922",1652,184.640351270251,"2019-07-11",0.00335672584020596,-0.741646122220476,0.459804355819025
"923",1653,184.584120413619,"2019-07-12",0.00328485315338051,-0.742033526801275,0.43827891122398
"924",1654,184.517861983915,"2019-07-13",0.00321187929194201,-0.742490016720174,0.416423671345503
"925",1655,184.441724476355,"2019-07-14",0.00313776167139616,-0.743014568913863,0.394225882379426
"926",1656,184.35587289015,"2019-07-15",0.00306249196234143,-0.743606046614131,0.37168304971926
